2024-11-26,676
2024-11-26,26112486
2024-11-26,292479
2024-11-26,72276
2024-11-26,72221
2024-11-26,2322427
2024-11-26,7720234
2024-11-26,829
2024-11-26,1933
2024-11-26,4972
2024-11-26,822
2024-11-26,26112430
2024-11-26,26112429
2024-11-26,26112437
2024-11-27,2542
2024-11-27,1003
2024-11-27,2405231
2024-11-27,4661
2024-11-27,5264
2024-11-27,2991
2024-11-27,2606
2024-11-27,2330
2024-11-27,72588
2024-11-27,11122360
2024-11-27,030302
2024-11-28,10119
2024-11-28,392817
2024-11-28,1802221
2024-11-28,72797
2024-11-28,72797
2024-11-28,72797
2024-11-29,72797
2024-11-29,2407221
2024-11-29,222461
2024-11-29,29112486
2024-11-29,2981
2024-11-29,23620232
2024-11-29,3720237
2024-11-29,2343
2024-11-29,23620230
2024-11-29,16720234
2024-11-29,22620236
2024-11-29,22620235
2024-11-29,6720236
2024-11-29,4720230
2024-11-29,1002
2024-11-29,1038
2024-12-01,7670
2024-12-01,568
2024-12-01,02062215
2024-12-01,7701
2024-12-01,1725
2024-12-02,20720230
2024-12-02,23620232
2024-12-02,23620230
2024-12-02,16720234
2024-12-02,22620236
2024-12-02,22620235
2024-12-02,699
2024-12-02,412472
2024-12-02,4720233
2024-12-02,2122481
2024-12-02,6720237
2024-12-03,159846
2024-12-03,2311222
2024-12-03,2511212
2024-12-03,72888
2024-12-03,1514
2024-12-03,2215
2024-12-03,262
2024-12-03,429
2024-12-03,1402233
2024-12-04,2405231
2024-12-04,0925
2024-12-04,0001
2024-12-04,7720233
2024-12-04,392652
2024-12-04,7930
2024-12-04,4122416
2024-12-04,4122476
2024-12-04,4122450
2024-12-04,1964
2024-12-04,2222
2024-12-04,3573
2024-12-04,4122435
2024-12-05,5122436
2024-12-05,252525
2024-12-05,6720238
2024-12-05,16720234
2024-12-05,22620236
2024-12-05,22620235
2024-12-05,0068
2024-12-05,5122467
2024-12-05,22620230
2024-12-05,1412223
2024-12-05,21112466
2024-12-06,2732462
2024-12-06,2985
2024-12-06,451
2024-12-06,6122491
2024-12-06,24102426
